frame_idx,value,critic,done
0,0.0,0.0,0
1,0.0,0.0,0
2,15.5,15.5,0
3,20.0,4.5,0
4,24.3,4.3,0
5,25.0,0.7,0
6,24.5,-0.5,0
7,27.0,2.5,0
8,40.0,13.0,0
9,47.0,7.0,1
10,48.5,1.5,1
